Stress_class	Stress_info	Pathogen	Sample_description	BioSample	BioProject	Tissue	Source_name	Treatment	PubMed	Study_title	Study_abstract
abiotic	ozone	NA	control	SAMN00765509	0	leaves	0	0	0	Comparing the response to chronic ozone of five agriculturally important legume species.	In the past 100 years
abiotic	ozone	NA	control	SAMN00765506	0	leaves	0	0	0	Comparing the response to chronic ozone of five agriculturally important legume species.	In the past 100 years
abiotic	ozone	NA	stress	SAMN00765513	0	leaves	0	0	0	Comparing the response to chronic ozone of five agriculturally important legume species.	In the past 100 years
abiotic	ozone	NA	stress	SAMN00765514	0	leaves	0	0	0	Comparing the response to chronic ozone of five agriculturally important legume species.	In the past 100 years
abiotic	ozone	NA	stress	SAMN00765515	0	leaves	0	0	0	Comparing the response to chronic ozone of five agriculturally important legume species.	In the past 100 years
abiotic	ozone	NA	control	SAMN00765511	0	leaves	0	0	0	Comparing the response to chronic ozone of five agriculturally important legume species.	In the past 100 years
NA	NA	NA	NA	SAMD00027203	PRJDB3582	leaves	0	0	0	"RNAseqs for transcriptome analysis of soybean (Glycine max L.; 2n=20) cultivar ENREI were s equenced."	"Soybean (Glycine max L.; 2n=20) is one of the world''s most important leguminous crops and a major source of proteins"
NA	NA	NA	NA	SAMEA4395172	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395173	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395174	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395175	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
NA	NA	NA	NA	SAMEA4395176	PRJEB15247	root	0	0	0	Comparison of root transcriptomes in four soybean cultivars with high and low isoflavonoid content	RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
