Stress_class	Stress_info	Pathogen	Sample_description	BioSample	BioProject	Tissue	Source_name	Treatment	Project_title	Project_des
NA	NA	NA	NA	SAMD00025074	PRJDB3474	root	NA	NA	A new strategy to identify the long-distance mobile peptides from xylem sap.	Total RNAs were extracted from internodes and roots of 18 day-after-germination soybean plants, and the expression levels of the genes that encode xylem sap associated peptides or proteins were analyzed.
NA	NA	NA	NA	SAMD00025075	PRJDB3474	root	NA	NA	A new strategy to identify the long-distance mobile peptides from xylem sap.	Total RNAs were extracted from internodes and roots of 18 day-after-germination soybean plants, and the expression levels of the genes that encode xylem sap associated peptides or proteins were analyzed.
NA	NA	NA	NA	SAMD00025076	PRJDB3474	root	NA	NA	A new strategy to identify the long-distance mobile peptides from xylem sap.	Total RNAs were extracted from internodes and roots of 18 day-after-germination soybean plants, and the expression levels of the genes that encode xylem sap associated peptides or proteins were analyzed.
NA	NA	NA	NA	SAMD00025071	PRJDB3474	shoot	NA	NA	A new strategy to identify the long-distance mobile peptides from xylem sap.	Total RNAs were extracted from internodes and roots of 18 day-after-germination soybean plants, and the expression levels of the genes that encode xylem sap associated peptides or proteins were analyzed.
NA	NA	NA	NA	SAMD00025072	PRJDB3474	shoot	NA	NA	A new strategy to identify the long-distance mobile peptides from xylem sap.	Total RNAs were extracted from internodes and roots of 18 day-after-germination soybean plants, and the expression levels of the genes that encode xylem sap associated peptides or proteins were analyzed.
NA	NA	NA	NA	SAMD00025073	PRJDB3474	shoot	NA	NA	A new strategy to identify the long-distance mobile peptides from xylem sap.	Total RNAs were extracted from internodes and roots of 18 day-after-germination soybean plants, and the expression levels of the genes that encode xylem sap associated peptides or proteins were analyzed.
biotic	fungus	Ppachyrhizi	stress_res_24h	SAMD00117551	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	control_sus_24h	SAMD00117543	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	stress_res_24h	SAMD00117550	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	stress_res_24h	SAMD00117552	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	control_sus_24h	SAMD00117541	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	control_sus_24h	SAMD00117542	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	stress_sus_24h	SAMD00117544	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	stress_sus_24h	SAMD00117545	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	stress_sus_24h	SAMD00117546	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	control_res_24h	SAMD00117547	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	control_res_24h	SAMD00117548	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
biotic	fungus	Ppachyrhizi	control_res_24h	SAMD00117549	PRJDB7011	leaves	NA	NA	Response of Rpp3-NIL to soybean rust	Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
abiotic	drought	NA	control	SAMD00133783	PRJDB7219	leaves	NA	control	Transcriptome analysis of soynean with CAGE	nanT-iCAGE analysis of drought stress responsive genes and the TSSs in soybean from 6 samples from leaf, stem and root.
abiotic	drought	NA	stress	SAMD00133784	PRJDB7219	leaves	NA	drought treated	Transcriptome analysis of soynean with CAGE	nanT-iCAGE analysis of drought stress responsive genes and the TSSs in soybean from 6 samples from leaf, stem and root.
abiotic	drought	NA	root	SAMD00133787	PRJDB7219	root	NA	control	Transcriptome analysis of soynean with CAGE	nanT-iCAGE analysis of drought stress responsive genes and the TSSs in soybean from 6 samples from leaf, stem and root.
abiotic	drought	NA	control	SAMD00133785	PRJDB7219	shoot	NA	control	Transcriptome analysis of soynean with CAGE	nanT-iCAGE analysis of drought stress responsive genes and the TSSs in soybean from 6 samples from leaf, stem and root.
abiotic	drought	NA	stress	SAMD00133786	PRJDB7219	shoot	NA	drought treated	Transcriptome analysis of soynean with CAGE	nanT-iCAGE analysis of drought stress responsive genes and the TSSs in soybean from 6 samples from leaf, stem and root.
