gene Species
Glyma.17G213600 Cgregata
Glyma.02G047000 Cgregata
Glyma.16G170100 Cgregata
Glyma.02G029300 Cgregata
Glyma.16G150500 Cgregata
Glyma.17G231800 Cgregata
Glyma.17G217000 Cgregata
Glyma.02G026700 Cgregata
Glyma.16G155100 Cgregata
Glyma.02G036400 Cgregata
Glyma.02G026900 Cgregata
Glyma.06G125800 Fgraminearum
Glyma.19G129300 Fgraminearum
Glyma.19G176300 Fgraminearum
Glyma.05G062400 Fgraminearum
Glyma.05G054200 Fgraminearum
Glyma.19G186100 Fgraminearum
Glyma.04G013400 Fgraminearum
Glyma.05G047700 Fgraminearum
Glyma.07G256100 Fgraminearum
Glyma.04G247400 Fgraminearum
Glyma.07G247900 Fgraminearum
Glyma.05G058300 Fgraminearum
Glyma.04G013500 Fgraminearum
Glyma.06G126500 Fgraminearum
Glyma.04G010000 Fgraminearum
Glyma.04G239900 Fgraminearum
Glyma.06G112200 Fgraminearum
Glyma.19G116400 Fgraminearum
Glyma.07G236600 Fgraminearum
Glyma.05G103600 Fgraminearum
Glyma.17G087500 Fgraminearum
Glyma.05G070300 Fgraminearum
Glyma.05G115700 Fgraminearum
Glyma.06G131600 Fgraminearum
Glyma.19G126000 Fgraminearum
Glyma.06G105000 Fgraminearum
Glyma.17G090600 Fgraminearum
Glyma.07G269200 Fgraminearum
Glyma.04G022300 Fgraminearum
Glyma.06G121300 Fgraminearum
Glyma.17G116100 Fgraminearum
Glyma.06G135100 Fgraminearum
Glyma.19G156700 Fgraminearum
Glyma.04G023400 Fgraminearum
Glyma.17G094700 Fgraminearum
Glyma.04G242100 Fgraminearum
Glyma.04G023500 Fgraminearum
Glyma.19G126400 Fgraminearum
Glyma.04G008600 Fgraminearum
Glyma.04G233200 Fgraminearum
Glyma.07G257400 Fgraminearum
Glyma.06G128700 Fgraminearum
Glyma.05G042200 Fgraminearum
Glyma.04G235900 Fgraminearum
Glyma.06G122600 Fgraminearum
Glyma.07G253200 Fgraminearum
Glyma.04G239000 Fgraminearum
Glyma.17G096900 Fgraminearum
Glyma.19G117800 Fgraminearum
Glyma.19G190800 Fgraminearum
Glyma.04G029100 Fgraminearum
Glyma.19G125300 Fgraminearum
Glyma.06G095200 Fgraminearum
Glyma.05G041900 Fgraminearum
Glyma.19G113400 Fgraminearum
Glyma.17G069600 Fgraminearum
Glyma.06G102000 Fgraminearum
Glyma.17G069300 Fgraminearum
Glyma.05G063600 Fgraminearum
Glyma.01G018100 Fvirguliforme
Glyma.19G034900 Fvirguliforme
Glyma.14G025100 Fvirguliforme
Glyma.14G215800 Fvirguliforme
Glyma.01G025100 Fvirguliforme
Glyma.13G051900 Fvirguliforme
Glyma.07G039100 Fvirguliforme
Glyma.03G029100 Fvirguliforme
Glyma.03G029400 Fvirguliforme
Glyma.09G014400 Fvirguliforme
Glyma.10G067500 Fvirguliforme
Glyma.06G069300 Fvirguliforme
Glyma.01G223600 Fvirguliforme
Glyma.06G050700 Fvirguliforme
Glyma.01G213100 Fvirguliforme
Glyma.05G209900 Fvirguliforme
Glyma.02G081800 Fvirguliforme
Glyma.19G010100 Fvirguliforme
Glyma.14G024400 Fvirguliforme
Glyma.01G006500 Fvirguliforme
Glyma.08G254200 Fvirguliforme
Glyma.18G226200 Fvirguliforme
Glyma.01G225600 Fvirguliforme
Glyma.08G295500 Fvirguliforme
Glyma.13G204100 Fvirguliforme
Glyma.02G017100 Fvirguliforme
Glyma.03G236000 Fvirguliforme
Glyma.01G161600 Fvirguliforme
Glyma.11G120400 Fvirguliforme
Glyma.02G210500 Fvirguliforme
Glyma.19G034700 Fvirguliforme
Glyma.17G039300 Fvirguliforme
Glyma.18G276800 Fvirguliforme
Glyma.11G086700 Fvirguliforme
Glyma.01G244500 Fvirguliforme
Glyma.02G039700 Fvirguliforme
Glyma.10G052000 Fvirguliforme
Glyma.11G089100 Fvirguliforme
Glyma.06G052000 Fvirguliforme
Glyma.09G279000 Fvirguliforme
Glyma.08G169800 Fvirguliforme
Glyma.13G073900 Fvirguliforme
Glyma.01G162500 Fvirguliforme
Glyma.13G081000 Fvirguliforme
Glyma.02G033600 Fvirguliforme
Glyma.13G061100 Fvirguliforme
Glyma.02G029200 Fvirguliforme
Glyma.13G172000 Fvirguliforme
Glyma.17G061400 Fvirguliforme
