Accession	Score	Potential	Species
PI594466	102	0.7285714285714285	Cgregata
PI578477A	100	0.7142857142857143	Cgregata
PI437571	100	0.7142857142857143	Cgregata
PI567520A	100	0.7142857142857143	Cgregata
PI274507	100	0.7142857142857143	Cgregata
PI339871C	82	0.6029411764705882	Fvirguliforme
PI378694	80	0.5882352941176471	Fvirguliforme
PI407145	80	0.5882352941176471	Fvirguliforme
PI424107A	80	0.5882352941176471	Fvirguliforme
PI479753A	80	0.5882352941176471	Fvirguliforme
PI594760B	24	0.75	Mphaseolina
PI479752	24	0.75	Mphaseolina
PI603706A	24	0.75	Mphaseolina
PI603531A	24	0.75	Mphaseolina
PI603412A	24	0.75	Mphaseolina
PI603547	4	1	Ppachyrhizi
PI639559A	4	1	Ppachyrhizi
PI639559B	4	1	Ppachyrhizi
PI326582A	4	1	Ppachyrhizi
PI407057	4	1	Ppachyrhizi
