gene	score	species
Glyma.02G026700	0.45212094414109577	C. gregata
Glyma.17G213600	0.3022635846822818	C. gregata
Glyma.02G047000	0.2955404056077598	C. gregata
Glyma.16G170100	0.27408615642869183	C. gregata
Glyma.02G029300	0.2564782359639371	C. gregata
Glyma.16G150500	0.25205859455868096	C. gregata
Glyma.17G231800	0.2430695476964751	C. gregata
Glyma.02G026900	-0.24300891688264953	C. gregata
Glyma.17G217000	0.2307928379891688	C. gregata
Glyma.16G155100	0.2201879946382596	C. gregata
Glyma.05G062400	0.6405084391384089	F. graminearum
Glyma.04G013500	0.5919924256324777	F. graminearum
Glyma.05G103600	0.5610592430575242	F. graminearum
Glyma.17G087500	0.556178169592571	F. graminearum
Glyma.05G070300	0.5489742242514418	F. graminearum
Glyma.05G115700	0.5411216023239497	F. graminearum
Glyma.05G063600	-0.5384016293203948	F. graminearum
Glyma.06G105000	0.5235554452069977	F. graminearum
Glyma.06G121300	0.48823509975248436	F. graminearum
Glyma.17G116100	0.4853741146769071	F. graminearum
Glyma.14G025100	0.5721060460343678	F. virguliforme
Glyma.05G209900	0.5422577517649642	F. virguliforme
Glyma.19G010100	0.5322627121337016	F. virguliforme
Glyma.01G225600	0.5236016386069422	F. virguliforme
Glyma.02G210500	0.5084208731439886	F. virguliforme
Glyma.19G117800	0.5025549231755334	F. virguliforme
Glyma.18G276800	0.5018918410567527	F. virguliforme
Glyma.01G162500	0.49404378221468354	F. virguliforme
Glyma.13G081000	0.49221389858303316	F. virguliforme
Glyma.17G061400	0.48615025597213257	F. virguliforme
Glyma.06G187200	0.4178175683833491	M. phaseolina
Glyma.20G216600	0.4178175683833491	M. phaseolina
Glyma.08G316500	0.20890878419167455	M. phaseolina
Glyma.08G332800	0.20890878419167455	M. phaseolina
Glyma.09G216800	0.20890878419167455	M. phaseolina
Glyma.09G218600	0.20890878419167455	M. phaseolina
Glyma.18G301700	0.20890878419167455	M. phaseolina
Glyma.20G203900	0.20890878419167455	M. phaseolina
Glyma.18G286900	-0.2362557323065136	P. pachyrhizi
Glyma.15G123900	0.20890878419167455	P. pachyrhizi
Glyma.15G125900	0.20890878419167455	P. pachyrhizi
