V2	V1
Glyma.02G000100	Glyma0002s50
Glyma.03G000100	Glyma0003s50
Glyma.05G019000	Glyma0005s50
Glyma.06G000100	Glyma0006s50
Glyma.07G000100	Glyma0007s50
Glyma.11G000100	Glyma0011s50
Glyma.15G000100	Glyma0015s50
Glyma.17G000100	Glyma0017s50
Glyma.18G000100	Glyma0018s50
Glyma.20G056700	Glyma0021s00410
Glyma.20G056500	Glyma0021s00460
Glyma.08G264000	Glyma0022s00200
Glyma.08G263900	Glyma0022s00346
Glyma.08G263800	Glyma0022s00420
Glyma.08G263700	Glyma0022s00430
Glyma.08G263600	Glyma0022s00443
Glyma.08G263300	Glyma0022s00456
Glyma.08G263400	Glyma0022s00470
Glyma.08G263200	Glyma0022s00480
Glyma.01G074600	Glyma0023s00410
Glyma.01G074500	Glyma0023s00515
Glyma.01G074400	Glyma0023s00620
Glyma.10G101400	Glyma0024s00230
Glyma.10G101200	Glyma0024s00260
Glyma.U026800	Glyma0028s00210
Glyma.U026700	Glyma0028s00260
Glyma.U037800	Glyma0041s00210
Glyma.U038100	Glyma0041s00225
Glyma.U038200	Glyma0041s00240
Glyma.U038300	Glyma0041s00260
Glyma.U038400	Glyma0041s00271
Glyma.U038500	Glyma0041s00280
Glyma.U038600	Glyma0041s00290
Glyma.U038800	Glyma0041s00300
Glyma.U038900	Glyma0041s00310
Glyma.U039000	Glyma0041s00331
Glyma.U039100	Glyma0041s00350
Glyma.U039200	Glyma0041s00360
Glyma.U037700	Glyma0041s50
Glyma.U036700	Glyma0042s50
Glyma.09G286400	Glyma0048s00230
Glyma.09G286300	Glyma0048s00240
Glyma.09G286200	Glyma0048s00250
Glyma.09G286100	Glyma0048s00260
Glyma.09G286000	Glyma0048s00270
Glyma.09G285900	Glyma0048s00280
Glyma.09G285800	Glyma0048s00290
Glyma.09G285700	Glyma0048s00300
Glyma.09G285600	Glyma0048s00310
Glyma.09G285500	Glyma0048s00320
Glyma.09G285400	Glyma0048s00330
Glyma.09G285300	Glyma0048s00340
Glyma.09G285200	Glyma0048s00350
Glyma.09G286500	Glyma0048s50
Glyma.U042900	Glyma0053s200
Glyma.09G100800	Glyma0053s50
Glyma.09G211900	Glyma0057s50
Glyma.06G253000	Glyma0060s00220
Glyma.U001500	Glyma0060s00320
Glyma.06G251600	Glyma0060s00370
Glyma.09G124300	Glyma0066s50
Glyma.U042300	Glyma0070s50
Glyma.06G278300	Glyma0079s00200
Glyma.06G278400	Glyma0079s00210
Glyma.06G278500	Glyma0079s00220
Glyma.06G278600	Glyma0079s00230
Glyma.06G278700	Glyma0079s00240
Glyma.06G278800	Glyma0079s00250
Glyma.06G278900	Glyma0079s00261
Glyma.06G279000	Glyma0079s00270
Glyma.06G278000	Glyma0079s00300
Glyma.U036400	Glyma0079s00330
Glyma.U036200	Glyma0079s00360
Glyma.U028500	Glyma0080s50
Glyma.10G072700	Glyma0084s00210
Glyma.10G073000	Glyma0084s00230
Glyma.04G116000	Glyma0086s00200
Glyma.04G116200	Glyma0086s00300
Glyma.16G065600	Glyma0090s00200
Glyma.16G065500	Glyma0090s00250
Glyma.16G065400	Glyma0090s00350
Glyma.14G088700	Glyma0092s00200
Glyma.14G088800	Glyma0092s00210
Glyma.14G088900	Glyma0092s00230
Glyma.14G089000	Glyma0092s00240
Glyma.U045200	Glyma0101s00210
Glyma.U045000	Glyma0101s00230
Glyma.U044900	Glyma0101s00251
Glyma.U044800	Glyma0101s00260
