Gene	Des	score	species	GO_description
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	structural constituent of cell wall
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	molecular_function
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	structural molecule activity
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	plant-type cell wall organization
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	biological_process
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	cell wall organization
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	external encapsulating structure organization
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	cell wall organization or biogenesis
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	cellular component organization
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	plant-type cell wall organization or biogenesis
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	cellular process
Glyma.16G170100	Encodes extensin 3.	0.27408615642869183	C. gregata	cellular component organization or biogenesis
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	structural constituent of cell wall
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	molecular_function
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	structural molecule activity
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	plant-type cell wall organization
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	biological_process
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	cell wall organization
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	external encapsulating structure organization
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	cell wall organization or biogenesis
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	cellular component organization
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	plant-type cell wall organization or biogenesis
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	cellular process
Glyma.16G170100	extensin 3	0.27408615642869183	C. gregata	cellular component organization or biogenesis
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of transcription, DNA-templated
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	nucleic acid-templated transcription
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	cellular metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	macromolecule metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	biological_process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	heterocycle biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of primary metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	RNA biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of cellular metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of nucleic acid-templated transcription
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	cellular macromolecule metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	organic cyclic compound biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of cellular macromolecule biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of cellular process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	heterocycle metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	nucleobase-containing compound metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	aromatic compound biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of nitrogen compound metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	nucleobase-containing compound biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	primary metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	organic substance biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of RNA biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of gene expression
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of cellular biosynthetic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	organic cyclic compound metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	RNA metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of biological process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	nucleic acid metabolic process
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	transcription, DNA-templated
Glyma.02G026700	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	0.45212094414109577	C. gregata	regulation of metabolic process
