Gene	Description
Glyma.U026800	protein.degradation.metalloprotease
Glyma.06G278000	protein.degradation.cysteine protease
Glyma.16G065600	signalling.receptor kinases.leucine rich repeat
Glyma.16G065500	signalling.receptor kinases.leucine rich repeat
Glyma.16G065400	signalling.receptor kinases.leucine rich repeat
Glyma.U045200	protein.degradation.cysteine protease
Glyma.U044800	protein.degradation.cysteine protease
Glyma.18G088000	stress.biotic
Glyma.18G088300	stress.biotic
Glyma.01G001800	signalling.receptor kinases.leucine rich repeat
Glyma.01G004200	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.01G005600	signalling.receptor kinases.leucine rich repeat
Glyma.01G007400	signalling.receptor kinases.leucine rich repeat
Glyma.01G007500	signalling.receptor kinases.leucine rich repeat
Glyma.01G010000	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.01G010500	stress.biotic
Glyma.01G010700	stress.biotic
Glyma.01G012000	stress.biotic
Glyma.01G013100	stress.biotic
Glyma.01G014300	stress.biotic
Glyma.01G020900	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.01G021000	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.01G025400	hormone metabolism.ethylene.signal transduction
Glyma.01G027000	misc.peroxidases
Glyma.01G032400	stress.biotic.PR-proteins
Glyma.01G032900	stress.biotic.PR-proteins
Glyma.01G033300	stress.biotic.PR-proteins
Glyma.01G035400	stress.biotic
Glyma.01G035800	stress.biotic
Glyma.01G036900	protein.degradation.metalloprotease
Glyma.01G037100	protein.degradation.metalloprotease
Glyma.01G037200	protein.degradation.metalloprotease
Glyma.01G039000	stress.biotic.PR-proteins
Glyma.01G039600	signalling.receptor kinases.leucine rich repeat
Glyma.01G046900	stress.biotic.PR-proteins
Glyma.01G055200	stress.biotic
Glyma.01G056300	signalling.receptor kinases.leucine rich repeat
Glyma.01G062900	signalling.receptor kinases.leucine rich repeat
Glyma.01G065800	stress.biotic
Glyma.01G072400	stress.biotic
Glyma.01G075600	stress.biotic
Glyma.01G077600	protein.degradation.serine protease
Glyma.01G078800	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.01G083200	signalling.receptor kinases.leucine rich repeat
Glyma.01G087000	protein.degradation.metalloprotease
Glyma.01G090200	signalling.receptor kinases.leucine rich repeat
Glyma.01G112200	stress.biotic.PR-proteins
Glyma.01G112300	stress.biotic.PR-proteins
Glyma.01G117000	signalling.receptor kinases.leucine rich repeat
Glyma.01G117100	signalling.receptor kinases.leucine rich repeat
Glyma.01G117200	signalling.receptor kinases.leucine rich repeat
Glyma.01G118300	signalling.receptor kinases.leucine rich repeat
Glyma.01G119400	protein.degradation.metalloprotease
Glyma.01G119700	stress.biotic.PR-proteins
Glyma.01G119800	stress.biotic.PR-proteins
Glyma.01G120000	signalling.receptor kinases.leucine rich repeat
Glyma.01G120100	signalling.receptor kinases.leucine rich repeat
Glyma.01G120300	signalling.receptor kinases.leucine rich repeat
Glyma.01G120700	protein.degradation.serine protease
Glyma.01G125200	signalling.receptor kinases.leucine rich repeat
Glyma.01G125300	stress.biotic.PR-proteins
Glyma.01G125400	stress.biotic.PR-proteins
Glyma.01G125800	signalling.receptor kinases.leucine rich repeat
Glyma.01G126600	stress.biotic.PR-proteins
Glyma.01G126700	stress.biotic.PR-proteins
Glyma.01G126900	signalling.receptor kinases.leucine rich repeat
Glyma.01G127100	stress.biotic.PR-proteins
Glyma.01G127200	stress.biotic.PR-proteins
Glyma.01G127400	stress.biotic.PR-proteins
Glyma.01G127700	stress.biotic
Glyma.01G130500	misc.peroxidases
Glyma.01G130800	misc.peroxidases
Glyma.01G133100	stress.biotic
Glyma.01G133300	signalling.receptor kinases.leucine rich repeat
Glyma.01G138300	protein.degradation.metalloprotease
Glyma.01G147800	stress.biotic
Glyma.01G148400	stress.biotic
Glyma.01G149200	stress.biotic
Glyma.01G149700	protein.degradation.serine protease
Glyma.01G150700	signalling.receptor kinases.leucine rich repeat
Glyma.01G152200	signalling.receptor kinases.leucine rich repeat
Glyma.01G152300	signalling.receptor kinases.leucine rich repeat
Glyma.01G157000	signalling.receptor kinases.leucine rich repeat
Glyma.01G157500	stress.biotic.signalling.MLO-like
Glyma.01G160100	stress.biotic
Glyma.01G163000	protein.degradation.aspartate protease
Glyma.01G163100	misc.peroxidases
Glyma.01G165200	stress.biotic.signalling.MLO-like
Glyma.01G165400	stress.biotic
Glyma.01G165600	stress.biotic
Glyma.01G165800	stress.biotic
Glyma.01G168100	signalling.receptor kinases.leucine rich repeat
Glyma.01G169500	signalling.receptor kinases.leucine rich repeat
